country,month,population
FY15,JUN,544112923
FY15,JUL,558820362
FY15,AUG,570764965
FY15,SEP,580886559
FY15,OCT,589955812
FY15,NOV,598574241
FY15,DEC,607167524
FY15,JAN,615992182
FY15,FEB,432601236
FY15,MAR,440968677
FY15,APR,449661874
FY15,MAY,458691457


FY16,JUN,376325205
FY16,JUL,382231042
FY16,AUG,388515758
FY16,SEP,395137696
FY16,OCT,402065915
FY16,NOV,409280196
FY16,DEC,416771502
FY16,JAN,424541513
FY16,FEB,432601236
FY16,MAR,440968677
FY16,APR,449661874
FY16,MAY,458691457

FY17,1950,157813040
FY17,1951,159880756
FY17,1952,162280405
FY17,1953,164941716
FY17,1954,167800046
FY17,1955,170796378
FY17,1956,173877321
FY17,1957,176995108
FY17,1958,180107612
FY17,1959,183178348
FY17,1960,186176524
FY17,1961,189077076
