date,China,Netherlands,Belgium
2002,88558206,1148836167,686581858
2003,83540588,1195852817,694147130
2004,82110272,1240508053,698363141
2005,96446977,1374412804,704236235
2006,99597884,1631887282,828601218
2007,100411671,1620666247,789142240
2008,97578069,1585430382,767479362
2009,87209758,1521317909,662921254
2010,90353716,1578205773,652054991
2011,87494225,1668121485,600947493
2012,78403307,1780838195,612335989
2013,60990882,1861629388,568978539
2014,65037841,2152870946,542067060
2015,66504137,2271799863,570892012
